borrower_id,email,join_date,credit_tier
brw_07a30dac991d,borrower2c7a62b8@example.net,2025-11-13,Excellent
brw_8c408e255746,borrower1fa62316@example.net,2026-05-08,Good
brw_da6da610c67f,borrowerdcd524f1@example.net,2025-09-14,Fair
brw_b9a7a4f01a7c,borrowerd3a86079@example.net,2025-05-07,Excellent
brw_4ddf8211ad16,borrowerc62d4745@example.net,2026-03-05,Excellent
brw_779199b75246,borrower1815286a@example.net,2026-05-31,Fair
brw_c35af7b13f27,borrower0c947509@example.net,2026-08-16,Good
brw_4105177c8aec,borrower4b896d8b@example.net,2025-11-07,Fair
brw_96134911d72b,borrower1088d117@example.net,2026-05-30,Fair
brw_724b50bda1a3,borrower0ce0ed05@example.net,2025-07-22,Excellent
brw_3e38fef38249,borrower7d13480e@example.net,2025-07-25,Fair
brw_1b57310b0669,borrower6e422dea@example.net,2026-04-11,Good
brw_777832b09d66,borrowerb7199902@example.net,2025-02-11,Good
brw_7eebe2714875,borrowerda4738a6@example.net,2026-07-18,Excellent
brw_144c8a1d554b,borrower85a71c48@example.net,2025-06-20,Fair
brw_17fc73551b94,borrowerbbb776fe@example.net,2025-07-24,Fair
brw_ba2ee3a5a60a,borrowera635c636@example.net,2026-01-09,Poor
brw_4b1e9c94f363,borrowercc9216c7@example.net,2026-03-25,Fair
brw_f74c18a29085,borrower771af4e7@example.net,2025-07-05,Fair
brw_04e14a62fb52,borrower34f3aad4@example.net,2025-06-07,Fair
brw_0e6006f84292,borrower491baadf@example.net,2025-10-05,Excellent
brw_29b6e3cf672b,borrowerff30e172@example.net,2026-05-27,Good
brw_cedd44c03fdb,borrower7a0568b0@example.net,2026-07-22,Good
brw_921c7e3dcc39,borroweradc29a79@example.net,2026-07-15,Good
brw_549870f29680,borrowerc21a7254@example.net,2025-11-16,Good
brw_af3b4b559613,borrowere954d9ee@example.net,2026-03-29,Good
brw_408c5e34b2c1,borrower51136157@example.net,2026-05-11,Poor
brw_f99c100bfb59,borrowerd3c3f934@example.net,2025-11-08,Fair
brw_897ee13570aa,borrowerd2371067@example.net,2026-06-18,Fair
brw_eaa121b4092f,borrowercc51dc0f@example.net,2026-06-21,Good
brw_c86e9eef5839,borrower854298c1@example.net,2024-11-30,Fair
brw_e5ffc929693e,borrower6078f29a@example.net,2025-12-29,Fair
brw_851435f27135,borrower46efe545@example.net,2025-06-24,Fair
brw_4c1e29ba042b,borrower7471f546@example.net,2026-05-27,Excellent
brw_c2c3194e6788,borrower266fd3f0@example.net,2026-04-21,Good
brw_2460e90f0d79,borrower3922dd97@example.net,2026-06-03,Poor
brw_74314b156379,borrower3f6e1226@example.net,2025-05-23,Good
brw_c07f849a73b6,borrower2cceaacc@example.net,2025-11-04,Good
brw_cce9f093402c,borrower5b115349@example.net,2025-04-12,Good
brw_31241439df73,borrowerca5fc4bb@example.net,2026-05-12,Good
brw_250319701196,borrower8afd4241@example.net,2025-12-27,Good
brw_81bac5032c10,borrowerd9bd82d6@example.net,2025-12-14,Poor
brw_e1cc84e0717c,borrower7b49a282@example.net,2026-03-15,Good
brw_769c6556eaa3,borrower1debd695@example.net,2024-10-24,Fair
brw_2b87f526da17,borrower3a88d966@example.net,2026-07-18,Excellent
brw_d76fddc64089,borrowerde59ba36@example.net,2026-07-11,Fair
brw_e53da88fd8b1,borrowere4bf4583@example.net,2025-08-04,Good
brw_ef10c76a3abf,borroweree09b2f8@example.net,2026-07-29,Good
brw_bd2b2213296f,borrower59a65746@example.net,2024-11-02,Fair
brw_714f19eff8d7,borrower322ac603@example.net,2025-01-16,Poor
brw_0b8a1c46909c,borrower03b3dee1@example.net,2026-08-28,Fair
brw_fd79a1822665,borrowerd966ddf7@example.net,2025-10-19,Fair
brw_cb9e72347365,borrowerfdfdb3ae@example.net,2026-05-11,Fair
brw_a54cc638c28b,borrower4786d137@example.net,2026-07-11,Good
brw_d77a16be0e9f,borrowerc46c6810@example.net,2026-02-18,Poor
brw_cec721950113,borrower8e5df957@example.net,2025-05-24,Good
brw_e7d478ba99dc,borrowerd9594312@example.net,2026-01-27,Good
brw_9b8583b56653,borrower0863fd69@example.net,2025-04-14,Poor
brw_6d0d4be2c674,borrowere014af86@example.net,2026-04-28,Fair
brw_8425012678cd,borrower2748cc11@example.net,2025-12-01,Good
brw_6c7918b42c97,borrower688f03cd@example.net,2025-08-26,Fair
brw_77812406d403,borrowere46a2d29@example.net,2025-08-15,Fair
brw_932b8fe1500e,borrower86c11fa7@example.net,2026-09-14,Good
brw_5d7c8a2fc827,borrowerea3c58f5@example.net,2026-08-21,Poor
brw_cfb69674c5d3,borrowercbf33c1c@example.net,2025-05-21,Fair
brw_fdf3db3581e4,borrowerc885d506@example.net,2026-04-24,Excellent
brw_503ee5d1c3a5,borrower07ef5925@example.net,2025-05-22,Poor
brw_607c43a184a2,borrowereefc73a8@example.net,2026-07-20,Good
brw_6ab5015391c5,borrower5e37896b@example.net,2026-07-26,Fair
brw_6fffb8257ff3,borrower6cabafcd@example.net,2025-08-24,Excellent
brw_0f206dca4d47,borrower99212fe7@example.net,2026-02-08,Fair
brw_2b0b85df191f,borrowerdc70b88b@example.net,2026-05-12,Poor
brw_4f4bc2baf220,borrower65b4e6df@example.net,2026-03-05,Good
brw_1ebffc383a13,borrowercc3007dd@example.net,2026-01-07,Fair
brw_0ed75b24c9af,borrower4bed06b2@example.net,2026-06-07,Good
brw_f1bda367b8e2,borrower4b63a396@example.net,2024-11-07,Fair
brw_3f91708bb7e8,borrower7ef207fc@example.net,2026-02-26,Fair
brw_aff54c8bfa61,borroweref5d8876@example.net,2026-07-07,Good
brw_746bf50dc2b6,borrowerf989206b@example.net,2026-04-11,Fair
brw_9fe0e72e20eb,borrower495f8567@example.net,2026-05-26,Good
brw_e5bef617885b,borrowerb250e5db@example.net,2026-07-26,Fair
brw_55c5e1856df2,borrowerb567705c@example.net,2026-05-27,Poor
brw_ebf8b4cd0f67,borrower8712c539@example.net,2025-06-09,Excellent
brw_532c33fb5ae8,borrower4f6ee4bb@example.net,2026-05-23,Fair
brw_a14925c790e2,borrower8ba39da5@example.net,2026-06-01,Excellent
brw_14043a6a63bc,borrower3051e0fb@example.net,2025-03-16,Fair
brw_ccfd5486584f,borrower95c8980a@example.net,2026-02-09,Fair
brw_f585e2153caa,borrowerdf13c2de@example.net,2025-07-23,Good
brw_3e87a5621543,borrower5d9b4374@example.net,2026-07-16,Good
brw_ad7bdcdf39c8,borrower3948d15d@example.net,2026-03-04,Good
brw_953e880430f9,borrower318078d6@example.net,2025-09-19,Fair
brw_5f4f85b2ddab,borrowerfdbc0cbb@example.net,2024-12-17,Excellent
brw_879f3593a9d8,borrower157baae5@example.net,2026-03-14,Good
brw_9cedcf270deb,borrower650e0b5a@example.net,2025-06-07,Good
brw_4db7a547f887,borrower70a208c8@example.net,2026-06-11,Good
brw_42881d861914,borrowerbef08d03@example.net,2026-03-05,Good
brw_6bf05e224f9f,borrower42b3f3a9@example.net,2026-05-18,Poor
brw_9b4edeefa0d6,borrower57e7e8e6@example.net,2026-02-23,Poor
brw_ea521312ce22,borrowere9a8b342@example.net,2026-01-01,Excellent
brw_e86107bd6137,borrowercfd27069@example.net,2024-10-08,Fair
brw_901d0818e135,borrower3b476bac@example.net,2025-01-21,Poor
brw_99048d4e3937,borrower76f22929@example.net,2025-06-19,Good
brw_333d98fd235e,borroweraf4e5f89@example.net,2026-02-03,Good
brw_ab2bf2e82b37,borrowerd81c7cbf@example.net,2026-03-15,Excellent
brw_3901623df2e8,borrower5126a146@example.net,2026-03-25,Poor
brw_b16b8d6f19bd,borrower45148720@example.net,2026-05-12,Fair
brw_51c29d362983,borrowerd2d4d3a4@example.net,2026-02-18,Good
brw_45322a8a1590,borrower7f9d84a8@example.net,2025-02-11,Poor
brw_9bf1c3c2d414,borrower8ad69c5e@example.net,2025-12-30,Fair
brw_342752d88919,borrower2df46fa7@example.net,2026-06-24,Good
brw_593abe1ecf8f,borrowerb2cb209b@example.net,2025-01-21,Fair
brw_ee1e300b4ee6,borrower2ef60ae4@example.net,2026-01-06,Fair
brw_49fd085330d0,borrower2d55d706@example.net,2026-07-31,Fair
brw_bb5f0b0a9f60,borrowerb37637ce@example.net,2026-01-26,Poor
brw_a755546fc38b,borrower23070d16@example.net,2026-06-23,Poor
brw_b1998ffb1e6c,borrower273c4bda@example.net,2026-07-22,Good
brw_8f3f9632f516,borrowerc85bf322@example.net,2025-12-09,Fair
brw_5e881e06e299,borrower79c62486@example.net,2026-05-24,Excellent
brw_87417390f5f5,borrowere7ca66bb@example.net,2025-05-09,Good
brw_428b7dca3c82,borrower01d90ae5@example.net,2025-12-09,Fair
brw_945e8e6958bf,borrowerf7291cfd@example.net,2026-03-06,Fair
brw_8591ee8ee6f3,borrower7b348d45@example.net,2026-01-16,Poor
brw_ec7b26361e4b,borrowerb17a23a4@example.net,2026-06-05,Fair
brw_12ae95140d5a,borrowerb52f2759@example.net,2026-05-23,Good
brw_21eeaf14f810,borroweraa1b8eaa@example.net,2025-10-25,Good
brw_49e56b2de967,borrower733243fe@example.net,2026-04-21,Fair
brw_6aecca1c44e8,borrowerd767977d@example.net,2026-07-25,Good
brw_839e82a3f2ca,borrower274d2a2c@example.net,2024-10-17,Poor
brw_0c34441378d6,borrower17743673@example.net,2026-07-25,Good
brw_066e6413f2a4,borrowereaf67ca2@example.net,2026-05-12,Poor
brw_96a2c32fd773,borrowerbc71ea64@example.net,2025-05-19,Poor
brw_a9c13a6529b9,borrower1927611e@example.net,2026-03-29,Good
brw_0158cfec4e2c,borrowerf8c2079b@example.net,2025-07-02,Fair
brw_5896216bd71f,borrowerfc3f2c13@example.net,2025-11-29,Poor
brw_0410a6a7aec1,borrower3941da0d@example.net,2025-11-05,Excellent
brw_25735c2fb382,borrowercb002d7d@example.net,2025-07-16,Good
brw_7b59c8f4b19f,borrower0bfeb231@example.net,2025-10-30,Poor
brw_0427cb9d010b,borrower8539b276@example.net,2026-07-02,Excellent
brw_31a17bb36885,borrower31f42f42@example.net,2026-07-12,Fair
brw_9939bb5eb1b6,borrower01197b6e@example.net,2026-05-09,Fair
brw_340169dacf54,borrowerc55b8431@example.net,2025-09-26,Good
brw_042ea74d9bf8,borrower3cdbfd9d@example.net,2025-11-16,Good
brw_dbcbcb0c0380,borrower25615488@example.net,2026-02-02,Poor
brw_1aefbec6ab99,borrowerb63bd2b7@example.net,2025-06-21,Excellent
brw_124d5cbeb3f0,borrower0a295c34@example.net,2026-03-04,Good
brw_730e9eb558bc,borrowerc637c1ea@example.net,2026-09-07,Fair
brw_4fc4343ab55f,borrowerde88e890@example.net,2025-11-15,Good
brw_17210a240029,borrowerb79c0d3e@example.net,2025-09-10,Fair
brw_861c1061ab71,borrowera34ac8ee@example.net,2026-03-03,Excellent
brw_bbbf8025e282,borrowera2ef4333@example.net,2026-07-24,Poor
