member_id,account_id,email,join_date,eligibility_status,sponsored,is_fitbit_seed
mem_d628dd1ee1b0,acct_29e7052f5a45,jillrhodes@example.net,2026-03-24,enrolled,True,False
mem_3bd555f10a00,acct_29e7052f5a45,garzaanthony@example.org,2026-04-14,enrolled,True,False
mem_f255c0c0e27a,acct_29e7052f5a45,jesseguzman@example.net,2025-07-31,enrolled,True,False
mem_12fa1ee5c6ee,acct_29e7052f5a45,jennifermiles@example.com,2025-09-07,enrolled,True,False
mem_f704860ff992,acct_29e7052f5a45,shaneramirez@example.org,2025-03-23,enrolled,True,False
mem_26205b1c9774,acct_29e7052f5a45,helenpeterson@example.org,2026-06-05,enrolled,True,False
mem_0d19b285bd90,acct_29e7052f5a45,susanrogers@example.org,2026-01-19,enrolled,True,False
mem_53a677ea413a,acct_29e7052f5a45,wdavis@example.net,2026-06-30,enrolled,True,False
mem_dc1c56c6e76b,acct_29e7052f5a45,lindsay78@example.org,2026-04-16,enrolled,True,False
mem_ce1dd6a5a774,acct_29e7052f5a45,smiller@example.net,2025-12-10,enrolled,True,False
mem_b02eef79be72,acct_29e7052f5a45,barbara10@example.net,2026-07-02,enrolled,True,True
mem_2e4e9802ef6d,acct_29e7052f5a45,kendragalloway@example.org,2026-04-23,enrolled,True,False
mem_c3ccc589c518,acct_29e7052f5a45,jamesshawn@example.com,2025-09-23,enrolled,True,False
mem_c74b775c3fd8,acct_29e7052f5a45,mitchellclark@example.com,2025-11-20,enrolled,True,False
mem_acdb9d1bf2c9,acct_29e7052f5a45,lynchgeorge@example.net,2026-04-15,enrolled,True,False
mem_a4f5f4cfd92a,acct_29e7052f5a45,frankgray@example.net,2025-10-28,enrolled,True,True
mem_8d8a64c2f367,acct_29e7052f5a45,gabriellecameron@example.org,2025-06-07,enrolled,True,False
mem_59f47e7ddaf8,acct_29e7052f5a45,lydiatrujillo@example.com,2026-07-20,enrolled,True,False
mem_0e69b054d542,acct_29e7052f5a45,carl95@example.org,2025-06-10,enrolled,True,False
mem_ed3569cfc227,acct_29e7052f5a45,pfoster@example.com,2025-08-25,enrolled,True,False
mem_c64b69ecb4d5,acct_29e7052f5a45,josephwright@example.net,2026-02-25,enrolled,True,True
mem_335b4a13fe3c,acct_29e7052f5a45,julie69@example.com,2026-05-10,enrolled,True,False
mem_9d73aea1903e,acct_29e7052f5a45,jeffrey28@example.com,2024-12-28,enrolled,True,False
mem_f56ce479bd38,acct_29e7052f5a45,camposmichelle@example.org,2026-02-26,enrolled,True,False
mem_cebd110dcc82,acct_29e7052f5a45,laurahenderson@example.org,2026-06-03,enrolled,True,False
mem_684c643f39a5,acct_29e7052f5a45,djames@example.net,2026-06-01,enrolled,True,False
mem_125969ed90c5,acct_29e7052f5a45,tasha01@example.net,2025-05-06,enrolled,True,False
mem_08e6ea012bed,acct_29e7052f5a45,kayla51@example.com,2025-10-20,enrolled,True,False
mem_524d3614c580,acct_29e7052f5a45,amoore@example.net,2025-06-09,enrolled,True,False
mem_2a050a81aba3,acct_29e7052f5a45,teresa28@example.org,2025-08-04,enrolled,True,False
mem_aa33c5e4453a,acct_29e7052f5a45,meagan89@example.org,2025-11-25,enrolled,True,False
